Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,species_100_abundance_10000000_dominance_1_A10000000_R75,species_100_abundance_10000000_dominance_1_A10000000_R150,species_100_abundance_10000000_dominance_1_A10000000_R300,species_100_abundance_10000000_dominance_1_A10000000_R1000
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus vestibularis,Streptococcus vestibularis,2043,324,280,192,148
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,Acinetobacter nosocomialis,47,285,191,126,76
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ferus,Streptococcus ferus,1970,109,91,61,54
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia caledonica,Paraburkholderia caledonica,1447,0,1,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia fungorum,Paraburkholderia fungorum,1459,2,0,0,0
Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium saccharobutylicum,Clostridium saccharobutylicum,478,2,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium ummariense,Sphingobium ummariense,1885,0,0,46,32
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia taiwanensis,Priestia taiwanensis,1602,51,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,Streptococcus parauberis,2008,84,44,27,42
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium argentoratense,Corynebacterium argentoratense,526,2,4,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium malaysiense,Novosphingobium malaysiense,1354,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis,Streptococcus uberis,2039,478,463,467,346
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus loxodontisalivarius,Streptococcus loxodontisalivarius,1990,181,130,123,62
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus saliviloxodontae,Streptococcus saliviloxodontae,2027,3,0,1,0
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter hominis,Dermabacter hominis,662,2,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga flava,Hydrogenophaga flava,902,3,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus simplex,Peribacillus simplex,1550,2,0,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter delicatus,Curvibacter delicatus,642,1,0,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum chlorophenolicum,Herbaspirillum chlorophenolicum,885,4,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Gulosibacter,Gulosibacter bifidus,Gulosibacter bifidus,858,2,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga intermedia,Hydrogenophaga intermedia,903,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga palleronii,Hydrogenophaga palleronii,904,11,19,23,16
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter agilis,Achromobacter agilis,4,11,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter pestifer,Achromobacter pestifer,11,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,Buttiauxella brennerae,Buttiauxella brennerae,394,2,1,0,0
Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus mikwangii,Peptoniphilus mikwangii,1537,3,2,1,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus poinarii,Xenorhabdus poinarii,2220,50,28,30,12
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Lactococcus lactis,1037,39823,39598,39842,38974
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Lactococcus garvieae,1035,95,57,60,50
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus piscium,Lactococcus piscium,1041,11,6,10,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis,Lactococcus raffinolactis,1043,79,89,88,78
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus infantis,Bacillus infantis,217,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Izhakiella,Izhakiella capsodis,Izhakiella capsodis,915,0,1,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium testudinoris,Corynebacterium testudinoris,596,0,15,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus kocurii,Planococcus kocurii,1579,0,2,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Mansonella ozzardi,Wolbachia endosymbiont of Mansonella ozzardi,2209,2,0,4,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,Weissella cibaria,2201,5,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,Gemella haemolysans,836,5,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Ectobacillus,Ectobacillus funiculus,Ectobacillus funiculus,698,0,12,4,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia symbiotica,Serratia symbiotica,1842,38,7,0,0
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Kytococcaceae,Kytococcus,Kytococcus schroeteri,Kytococcus schroeteri,972,20,8,2,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas malthae,Arenimonas malthae,169,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Entomohabitans,Entomohabitans teleogrylli,Entomohabitans teleogrylli,750,945,867,797,612
Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella profusa,Olsenella profusa,1364,0,0,10,0
Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema parvum,Treponema parvum,2132,0,2,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter pulmonis,Achromobacter pulmonis,13,5,1,1,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter animicus,Achromobacter animicus,5,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus equi,Ligilactobacillus equi,1106,16,5,8,0
Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium deltae,Atopobium deltae,184,11,4,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,Bacillus cereus,207,595,542,338,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudocitrobacter,Pseudocitrobacter faecalis,Pseudocitrobacter faecalis,1619,146,58,17,2
Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia hermsii,Borrelia hermsii,340,4,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Necropsobacter,Necropsobacter massiliensis,Necropsobacter massiliensis,1293,2277,2358,2170,2229
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,Mogibacterium timidum,Mogibacterium timidum,1276,7,4,10,2
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,Bacillus licheniformis,219,5,0,2,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glyciniphilum,Corynebacterium glyciniphilum,549,1,0,1,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mycoides,Bacillus mycoides,226,731,212,234,0
Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa,Paenibacillus polymyxa,1389,2,0,0,0
Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium,Archangium violaceum,Archangium violaceum,167,0,1,23,2
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus psychrosaccharolyticus,Peribacillus psychrosaccharolyticus,1549,18,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella facilis,Acidocella facilis,22,1,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalihalobacterium,Alkalihalobacterium bogoriense,Alkalihalobacterium bogoriense,108,3,0,0,0
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium perfoetens,Fusobacterium perfoetens,824,3,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium merycicum,Bifidobacterium merycicum,296,37,18,19,14
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeddahense,Corynebacterium jeddahense,557,1,1,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus,Lysinibacillus sphaericus,1179,0,2,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus acidifarinae,Levilactobacillus acidifarinae,1081,19,10,2,4
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus brantae,Lacticaseibacillus brantae,979,4,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus casei,Lacticaseibacillus casei,980,182,72,72,46
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus composti,Agrilactobacillus composti,97,0,1,7,6
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus diolivorans,Lentilactobacillus diolivorans,1065,1,0,4,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus equigenerosi,Limosilactobacillus equigenerosi,1122,8,13,5,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus farraginis,Lentilactobacillus farraginis,1066,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus hammesii,Levilactobacillus hammesii,1088,15,7,8,8
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus hamsteri,Lactobacillus hamsteri,1015,2,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus hayakitensis,Ligilactobacillus hayakitensis,1107,29,48,16,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus hominis,Lactobacillus hominis,1017,5,8,1,6
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus hordei,Liquorilactobacillus hordei,1137,64,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kalixensis,Lactobacillus kalixensis,1021,3,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus kisonensis,Lentilactobacillus kisonensis,1069,2,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus oeni,Liquorilactobacillus oeni,1140,5,3,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus oligofermentans,Paucilactobacillus oligofermentans,1508,13,8,6,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus panis,Limosilactobacillus panis,1129,99,58,158,26
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus pantheris,Lacticaseibacillus pantheris,986,0,2,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus pasteurii,Lactobacillus pasteurii,1025,52,44,53,16
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus perolens,Schleiferilactobacillus perolens,1817,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus satsumensis,Liquorilactobacillus satsumensis,1141,4,10,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus senmaizukei,Levilactobacillus senmaizukei,1095,4,19,16,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus uvarum,Liquorilactobacillus uvarum,1142,0,4,6,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus versmoldensis,Companilactobacillus versmoldensis,511,5,5,2,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus aviarius,Ligilactobacillus aviarius,1105,2,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Thermotaleaceae,Geosporobacter,Geosporobacter ferrireducens,Geosporobacter ferrireducens,840,10,0,0,0
Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi,Eisenbergiella tayi,714,1,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,Salinicoccus sediminis,Salinicoccus sediminis,1806,3,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cuniculi,Streptococcus cuniculi,1963,4,1,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gwangjuense,Streptococcus gwangjuense,1974,813,614,285,120
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia varigena,Mannheimia varigena,1200,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus mixtipabuli,Secundilactobacillus mixtipabuli,1822,1,2,9,10
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium porcinum,Bifidobacterium porcinum,307,67,49,132,204
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium biavatii,Bifidobacterium biavatii,268,6,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium reuteri,Bifidobacterium reuteri,312,296,303,2056,1856
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,Castellaniella defragrans,Castellaniella defragrans,426,1,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus gobiensis,Bacillus gobiensis,212,45,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chania,Chania multitudinisentens,Chania multitudinisentens,437,0,2,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia norwichensis,Massilia norwichensis,1218,5,1,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Luteimonas huabeiensis,Luteimonas huabeiensis,1172,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter gandensis,Acinetobacter gandensis,38,6,7,4,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium pleistocenium,Carnobacterium pleistocenium,425,62,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Corynebacterium diphtheriae,538,220256,229668,232237,232610
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Crenobacter,Crenobacter luteus,Crenobacter luteus,610,3,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia aldovae,Yersinia aldovae,2226,65,53,72,6
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus badius,Bacillus badius,204,2,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plajomi,Lactiplantibacillus plajomi,1002,22,10,5,6
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Mixta,Mixta theicola,Mixta theicola,1270,6,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria coralli,Kocuria coralli,956,0,2,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia ginsengiterrae,Paraburkholderia ginsengiterrae,1461,3,0,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus yeoncheonensis,Cupriavidus yeoncheonensis,640,523,236,497,32
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,947,95,106,134,64
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Kitasatospora papulosa,Kitasatospora papulosa,934,63,48,11,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea coffeiphila,Pantoea coffeiphila,1422,1,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lederbergia,Lederbergia lenta,Lederbergia lenta,1057,0,2,14,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Phocoenobacter,Phocoenobacter uteri,Phocoenobacter uteri,1556,2,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium simulans,Corynebacterium simulans,589,508,447,492,458
Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,Azonexus fungiphilus,Azonexus fungiphilus,195,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria arctica,Neisseria arctica,1295,0,0,2,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Mizugakiibacter,Mizugakiibacter sediminis,Mizugakiibacter sediminis,1271,1,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia vini,Heyndrickxia vini,890,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas lopnurensis,Pseudomonas lopnurensis,1670,3,3,1,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,Lactobacillus iners,1018,61,39,2,42
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,Rhodoferax saidenbachensis,1757,1,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces calidiresistens,Streptomyces calidiresistens,2053,1,2,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Phytobacter massiliensis,Phytobacter massiliensis,1567,67,59,80,32
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Enterobacillus,Enterobacillus tribolii,Enterobacillus tribolii,716,0,0,1,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus urinalis,Streptococcus urinalis,2040,1155,1121,970,920
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter marinintestinus,Phaeobacter marinintestinus,1552,0,0,2,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus laudensis,Lactococcus laudensis,1038,80,31,29,30
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus hircilactis,Lactococcus hircilactis,1036,532,589,574,588
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus andreraoultii,Bacillus andreraoultii,202,12,2,31,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia marmotae,Escherichia marmotae,769,4896,3486,2704,1830
Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus soli,Aneurinibacillus soli,142,10,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lutetiensis,Streptococcus lutetiensis,1991,203,155,175,150
Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus fleurettii,Mammaliicoccus fleurettii,1192,124,94,106,84
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasuis,Streptococcus parasuis,2007,22,7,0,0
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium pinnipediorum,Arcanobacterium pinnipediorum,164,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia stagnalis,Burkholderia stagnalis,391,1,1,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia territorii,Burkholderia territorii,392,0,2,4,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio antiquarius,Vibrio antiquarius,2178,17,2,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sangjuensis,Pseudoxanthomonas sangjuensis,1713,0,0,4,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Siccibacter,Siccibacter colletis,Siccibacter colletis,1858,11,6,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia paludis,Burkholderia paludis,382,1,1,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,Jeotgalibacillus malaysiensis,Jeotgalibacillus malaysiensis,921,15,5,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella victoriana,Rahnella victoriana,1728,3,6,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rouxiella,Rouxiella chamberiensis,Rouxiella chamberiensis,1789,13,4,2,2
Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia marinimaniae,Colwellia marinimaniae,484,1,1,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus laharis,Cupriavidus laharis,626,939,334,221,152
Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,Pseudidiomarina atlantica,Pseudidiomarina atlantica,1613,3,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis,Lactobacillus intestinalis,1019,26,10,11,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus campinensis,Cupriavidus campinensis,622,161,20,4,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,Pigmentiphaga kullae,Pigmentiphaga kullae,1569,2,0,1,0
Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Clostridium innocuum,Clostridium innocuum,476,20,17,2,2
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Flaviflexus,Flaviflexus massiliensis,Flaviflexus massiliensis,800,0,0,3,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,Kingella negevensis,Kingella negevensis,931,5,1,3,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parakefiri,Lentilactobacillus parakefiri,1071,11,1,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ambifaria,Burkholderia ambifaria,369,0,0,0,6
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Ursidibacter,Ursidibacter arcticus,Ursidibacter arcticus,2153,3,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Oryzisolibacter,Oryzisolibacter propanilivorax,Oryzisolibacter propanilivorax,1372,9,0,3,0
Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium barkeri,Eubacterium barkeri,772,2,2,0,0
