Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_100,Healthy_stool_100_50
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea,Colwellia psychrerythraea,710,NA,1,3,1,2,2,NA
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. MT41,Colwellia sp. MT41,711,1,NA,3,1,NA,1,NA
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. PAMC 20917,Colwellia sp. PAMC 20917,712,4,2,1,1,2,1,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,f_Comamonadaceae,Comamonadaceae,713,NA,1,NA,3,NA,NA,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinimonas,Serpentinimonas raichei,Comamonadaceae bacterium A1,714,5,7,4,4,2,2,3
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinimonas,Serpentinimonas maccroryi,Comamonadaceae bacterium B1,715,5,5,4,3,2,NA,2
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,Comamonas testosteroni,716,11,15,20,16,7,10,12
NA,Unknown,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus covestigialis,Condylorrhiza vestigialis MNPV,717,NA,NA,NA,NA,NA,NA,1
NA,Actinomycetota,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei,Conexibacter woesei,718,1,9,13,5,3,2,2
NA,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,Actibacterium sp. EMB200-NS6,Confluentimicrobium sp. EMB200-NS6,719,2,2,4,NA,3,3,3
NA,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,Coprothermobacter proteolyticus,Coprothermobacter proteolyticus,720,4,4,5,15,4,1,3
NA,Verrucomicrobiota,Opitutia,Puniceicoccales,Coraliomargaritaceae,Coraliomargarita,Coraliomargarita akajimensis,Coraliomargarita akajimensis,721,2,1,3,2,1,3,3
NA,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,Corallococcus coralloides,722,5,9,10,11,4,6,6
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Berryella,Berryella intestinalis,Coriobacteriaceae bacterium 68-1-3,723,22,31,47,49,17,29,22
NA,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium glomerans,Coriobacterium glomerans,724,61,81,119,53,19,11,34
NA,Actinomycetota,Actinomycetes,Mycobacteriales,o_Mycobacteriales,o_Mycobacteriales,o_Mycobacteriales,Corynebacteriales,725,NA,NA,NA,1,NA,NA,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,g_Corynebacterium,Corynebacterium,726,1,NA,2,1,NA,2,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium argentoratense,Corynebacterium argentoratense,727,NA,2,3,2,NA,1,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium atypicum,Corynebacterium atypicum,728,1,5,1,2,1,NA,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,Corynebacterium aurimucosum,729,6,7,10,7,4,3,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium callunae,Corynebacterium callunae,730,9,7,5,6,4,4,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium camporealensis,Corynebacterium camporealensis,731,2,2,3,3,NA,1,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium casei,Corynebacterium casei,732,1,NA,1,3,NA,1,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium deserti,Corynebacterium deserti,733,10,4,1,5,4,2,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Corynebacterium diphtheriae,734,18,19,13,27,14,14,5
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium doosanense,Corynebacterium doosanense,735,5,10,8,8,4,2,5
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium efficiens,Corynebacterium efficiens,736,3,5,6,5,3,NA,6
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium epidermidicanis,Corynebacterium epidermidicanis,737,1,NA,2,1,1,2,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium falsenii,Corynebacterium falsenii,738,8,10,3,7,4,4,4
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,Corynebacterium glutamicum,739,9,5,3,5,7,3,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glyciniphilum,Corynebacterium glyciniphilum,740,2,4,2,3,2,1,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium halotolerans,Corynebacterium halotolerans,741,2,1,4,2,3,2,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium humireducens,Corynebacterium humireducens,742,5,NA,5,1,NA,2,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium imitans,Corynebacterium imitans,743,2,4,4,NA,1,1,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium,Corynebacterium jeikeium,744,9,2,2,3,2,2,6
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii,Corynebacterium kroppenstedtii,745,2,2,4,1,3,1,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri,Corynebacterium kutscheri,746,NA,1,1,1,2,3,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium lactis,Corynebacterium lactis,747,4,5,4,6,NA,3,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium marinum,Corynebacterium marinum,748,3,5,7,4,1,2,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium maris,Corynebacterium maris,749,5,4,3,5,3,NA,4
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium mustelae,Corynebacterium mustelae,750,3,1,5,3,3,2,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Corynebacterium pseudotuberculosis,751,7,1,2,2,1,2,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium resistens,Corynebacterium resistens,752,1,NA,NA,2,2,1,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium simulans,Corynebacterium simulans,753,3,8,5,5,3,NA,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium singulare,Corynebacterium singulare,754,1,4,1,NA,5,2,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. ATCC 6931,Corynebacterium sp. ATCC 6931,755,3,5,9,5,6,3,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium crudilactis,Corynebacterium sp. JZ16,756,12,4,3,3,13,2,NA
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. NML98-0116,Corynebacterium sp. NML98-0116,757,17,24,18,24,15,16,6
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium stationis,Corynebacterium stationis,758,4,2,NA,2,4,NA,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium terpenotabidum,Corynebacterium terpenotabidum,759,4,4,6,6,NA,1,4
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium testudinoris,Corynebacterium testudinoris,760,3,4,6,4,3,NA,4
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulcerans,Corynebacterium ulcerans,761,3,5,6,4,4,2,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum,Corynebacterium urealyticum,762,2,4,7,2,2,3,2
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ureicelerivorans,Corynebacterium ureicelerivorans,763,NA,3,7,2,NA,2,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium uterequi,Corynebacterium uterequi,764,2,7,6,2,NA,NA,1
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium variabile,Corynebacterium variabile,765,2,2,5,2,NA,1,3
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis,Corynebacterium vitaeruminis,766,4,12,6,5,2,3,2
NA,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii,Coxiella burnetii,767,1,3,NA,2,2,1,NA
NA,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Amblyomma americanum,Coxiella endosymbiont of Amblyomma americanum,768,NA,NA,NA,NA,NA,1,NA
NA,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,f_Coxiellaceae,Coxiella-like endosymbiont,Coxiella-like endosymbiont,769,NA,NA,2,NA,1,NA,NA
NA,Cyanobacteriota,Cyanophyceae,Gomontiellales,Gomontiellaceae,Crinalium,Crinalium epipsammum,Crinalium epipsammum,770,1,2,2,1,1,2,2
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus,Croceibacter atlanticus,771,3,2,1,2,1,7,NA
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,g_Croceicoccus,Croceicoccus,772,NA,NA,2,NA,NA,NA,NA
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,Croceicoccus naphthovorans,Croceicoccus naphthovorans,773,6,4,1,3,2,NA,4
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,g_Cronobacter,Cronobacter,774,NA,NA,NA,NA,1,1,NA
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter condimenti,Cronobacter condimenti,775,12,10,4,4,5,7,2
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter dublinensis,Cronobacter dublinensis,776,3,3,4,3,2,4,1
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter malonaticus,Cronobacter malonaticus,777,3,4,5,4,7,4,NA
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter muytjensii,Cronobacter muytjensii,778,4,3,5,7,3,5,NA
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,Cronobacter phage ENT39118,Cronobacter phage ENT39118,779,NA,NA,NA,NA,NA,1,NA
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,Cronobacter phage phiES15,Cronobacter phage phiES15,780,NA,NA,NA,1,NA,NA,NA
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,Seunavirus,Seunavirus GAP31,Cronobacter phage vB_CsaM_GAP31,781,NA,1,NA,NA,NA,NA,NA
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii,Cronobacter sakazakii,782,1,6,4,7,3,6,2
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter turicensis,Cronobacter turicensis,783,6,5,5,2,6,3,3
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter universalis,Cronobacter universalis,784,7,9,8,4,2,4,6
NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium arcticum,Cryobacterium arcticum,785,3,1,1,2,4,NA,3
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Cryptobacterium,Cryptobacterium curtum,Cryptobacterium curtum,786,5,3,9,6,2,1,8
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,g_Cupriavidus,Cupriavidus,787,NA,2,2,2,NA,NA,1
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus basilensis,Cupriavidus basilensis,788,NA,3,4,12,10,82,27
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus gilardii,Cupriavidus gilardii,789,4,7,6,5,6,13,5
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus metallidurans,Cupriavidus metallidurans,790,2,4,10,8,142,1772,529
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus necator,Cupriavidus necator,791,7,7,9,15,5,19,8
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus pinatubonensis,Cupriavidus pinatubonensis,792,1,6,5,7,2,9,10
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus malaysiensis,Cupriavidus sp. USMAA1020,793,4,14,16,11,7,8,6
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. USMAA2-4,Cupriavidus sp. USMAA2-4,794,5,14,10,11,6,10,11
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. USMAHM13,Cupriavidus sp. USMAHM13,795,7,8,14,13,5,5,6
NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,g_Curtobacterium,Curtobacterium,796,NA,NA,NA,1,NA,NA,NA
NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp. BH-2-1-1,Curtobacterium sp. BH-2-1-1,797,NA,6,4,4,1,2,1
NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp. MR_MD2014,Curtobacterium sp. MR_MD2014,798,4,2,2,3,1,2,2
NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium avidum,Cutibacterium avidum,799,14,10,13,5,7,4,5
NA,Cyanobacteriota,Cyanophyceae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium aponinum,Cyanobacterium aponinum,800,2,2,NA,4,3,2,5
NA,Cyanobacteriota,p_Cyanobacteriota,p_Cyanobacteriota,p_Cyanobacteriota,p_Cyanobacteriota,cyanobacterium endosymbiont of Epithemia turgida,cyanobacterium endosymbiont of Epithemia turgida,801,3,NA,1,NA,NA,1,NA
NA,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,Cyanobium gracile,Cyanobium gracile,802,6,4,4,6,1,3,6
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,Cyanophage PSS2,Cyanophage PSS2,803,NA,NA,NA,NA,NA,2,NA
NA,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera subtropica,Cyanothece sp. ATCC 51142,804,2,2,NA,NA,2,1,NA
NA,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Gloeothece,Gloeothece citriformis,Cyanothece sp. PCC 7424,805,1,2,1,3,3,3,1
NA,Cyanobacteriota,Cyanophyceae,Gomontiellales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7425,Cyanothece sp. PCC 7425,806,3,NA,1,NA,2,NA,NA
NA,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Gloeothece,Gloeothece verrucosa,Cyanothece sp. PCC 7822,807,1,1,NA,NA,2,NA,NA
NA,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Rippkaea,Rippkaea orientalis,Cyanothece sp. PCC 8801,808,3,NA,2,1,1,3,1
NA,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Rippkaea,Rippkaea orientalis,Cyanothece sp. PCC 8802,809,3,NA,1,1,1,2,1
NA,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium amurskyense,Cyclobacterium amurskyense,810,8,11,5,8,9,3,7
NA,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium marinum,Cyclobacterium marinum,811,1,2,1,2,6,5,4
NA,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus,Cycloclasticus sp. P1,Cycloclasticus sp. P1,812,NA,NA,NA,1,2,1,NA
NA,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus,Cycloclasticus zancles,Cycloclasticus zancles,813,2,1,NA,1,1,1,2
NA,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,f_Archangiaceae,f_Archangiaceae,Cystobacteraceae,814,NA,1,NA,NA,NA,NA,NA
NA,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii,Cytophaga hutchinsonii,815,9,7,7,4,15,4,4
NA,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,f_Cytophagaceae,f_Cytophagaceae,Cytophagaceae,816,1,NA,NA,NA,NA,NA,NA
NA,Cyanobacteriota,Cyanophyceae,Nodosilineales,Cymatolegaceae,Dactylococcopsis,Dactylococcopsis salina,Dactylococcopsis salina,817,NA,NA,NA,1,1,NA,1
NA,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas aromatica (nom. nud.),Dechloromonas aromatica,818,6,3,2,5,3,3,3
NA,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,Deferribacter desulfuricans,Deferribacter desulfuricans,819,2,2,4,NA,2,2,3
NA,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Albidovulum,g_Albidovulum,Defluviimonas,820,NA,NA,1,NA,NA,NA,NA
NA,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Frigidibacter,Frigidibacter mobilis,Defluviimonas alba,821,8,4,3,6,6,3,2
NA,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,Defluviitoga tunisiensis,Defluviitoga tunisiensis,822,1,NA,NA,1,2,NA,1
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Dehalobacter,Dehalobacter restrictus,Dehalobacter restrictus,823,2,4,1,2,5,6,3
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Dehalobacter,Dehalobacter sp. CF,Dehalobacter sp. CF,824,5,5,2,5,4,8,2
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Dehalobacter,Dehalobacter sp. DCA,Dehalobacter sp. DCA,825,3,4,1,5,4,8,2
NA,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi,Dehalococcoides mccartyi,826,6,1,3,4,4,3,3
NA,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides sp. UCH007,Dehalococcoides sp. UCH007,827,1,NA,2,2,NA,NA,1
NA,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas,Dehalogenimonas lykanthroporepellens,Dehalogenimonas lykanthroporepellens,828,2,2,1,7,1,1,1
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,g_Deinococcus,Deinococcus,829,NA,1,1,NA,NA,NA,NA
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus actinosclerus,Deinococcus actinosclerus,830,4,9,7,6,2,2,3
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus deserti,Deinococcus deserti,831,5,3,2,5,NA,1,4
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus geothermalis,Deinococcus geothermalis,832,6,5,1,6,2,4,4
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus gobiensis,Deinococcus gobiensis,833,4,13,8,8,3,7,13
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus maricopensis,Deinococcus maricopensis,834,3,4,7,8,2,2,NA
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus peraridilitoris,Deinococcus peraridilitoris,835,1,7,5,1,3,2,1
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus proteolyticus,Deinococcus proteolyticus,836,7,5,9,5,2,2,6
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus puniceus,Deinococcus puniceus,837,1,3,6,14,2,NA,1
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,Deinococcus radiodurans,838,6,7,2,4,1,2,4
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiopugnans,Deinococcus swuensis,839,10,10,4,14,2,4,4
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,Delftia acidovorans,840,11,24,13,10,11,15,3
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,Schitoviridae,Dendoorenvirus,Dendoorenvirus RG2014,Delftia phage RG-2014,841,NA,NA,NA,NA,NA,1,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia sp. Cs1-4,Delftia sp. Cs1-4,842,9,16,8,12,6,9,4
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia tsuruhatensis,Delftia tsuruhatensis,843,7,12,8,13,6,7,4
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Denitrobacterium,Denitrobacterium detoxificans,Denitrobacterium detoxificans,844,26,38,42,40,20,29,22
NA,Deferribacterota,Deferribacteres,Deferribacterales,Geovibrionaceae,Denitrovibrio,Denitrovibrio acetiphilus,Denitrovibrio acetiphilus,845,1,NA,NA,NA,1,5,1
NA,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter vaginalis,Dermabacter vaginalis,846,2,1,1,5,2,1,1
NA,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,f_Dermacoccaceae,f_Dermacoccaceae,Dermacoccaceae,847,NA,NA,NA,1,NA,NA,NA
NA,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis,848,2,2,2,5,2,1,4
NA,Thermodesulfobacteriota,Desulfarculia,Desulfarculales,Desulfarculaceae,Desulfarculus,Desulfarculus baarsii,Desulfarculus baarsii,849,4,7,12,10,4,7,5
NA,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,Desulfatibacillum,Desulfatibacillum alkenivorans,Desulfatibacillum alkenivorans,850,2,4,4,4,4,2,3
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium dehalogenans,Desulfitobacterium dehalogenans,851,2,1,3,7,6,8,5
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium dichloroeliminans,Desulfitobacterium dichloroeliminans,852,3,NA,6,6,4,6,3
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium hafniense,Desulfitobacterium hafniense,853,3,7,4,11,9,10,9
NA,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium metallireducens,Desulfitobacterium metallireducens,854,5,3,4,3,5,4,3
NA,Thermodesulfobacteriota,Desulfobaccia,Desulfobaccales,Desulfobaccaceae,Desulfobacca,Desulfobacca acetoxidans,Desulfobacca acetoxidans,855,NA,3,4,1,1,1,2
NA,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulforapulum,Desulforapulum autotrophicum,Desulfobacterium autotrophicum,856,6,1,1,5,8,1,2
NA,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula toluolica,Desulfobacula toluolica,857,NA,5,NA,NA,NA,4,1
NA,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus propionicus,Desulfobulbus propionicus,858,4,9,4,9,1,3,7
NA,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfocapsa,Desulfocapsa sulfexigens,Desulfocapsa sulfexigens,859,5,1,4,1,5,3,NA
NA,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfococcus,Desulfococcus multivorans,Desulfococcus multivorans,860,1,2,6,6,3,2,7
NA,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfosudaceae,Desulfosudis,Desulfosudis oleivorans,Desulfococcus oleovorans,861,2,5,3,3,3,3,3
NA,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobium retbaense,Desulfohalobium retbaense,862,5,1,6,4,3,5,2
