#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfatibacillum|s__Desulfatibacillum aliphaticivorans	1	0	0	1	0	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfosarcina	1	2	2	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfosarcina|s__Desulfosarcina alkanivorans	0	1	1	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfosarcina|s__Desulfosarcina ovata	1	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfococcus	2	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfococcus|s__Desulfococcus oleovorans	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfococcus|s__Desulfococcus multivorans	1	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	7	1	4	5	5	1	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|g__Minicystis	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|g__Minicystis|s__Minicystis rosea	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Sandaracinaceae	0	1	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Sandaracinaceae|g__Sandaracinus	0	1	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Sandaracinaceae|g__Sandaracinus|s__Sandaracinus amylolyticus	0	1	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	1	0	2	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Sorangium	1	0	2	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Sorangium|s__Sorangium cellulosum	1	0	2	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae	2	0	1	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae|g__Labilithrix	2	0	1	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae|g__Labilithrix|s__Labilithrix luteola	2	0	1	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Vulgatibacteraceae	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Vulgatibacteraceae|g__Vulgatibacter	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Vulgatibacteraceae|g__Vulgatibacter|s__Vulgatibacter incomptus	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae	1	0	1	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Archangium	1	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Archangium|s__Archangium gephyra	1	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	2	0	0	1	3	1	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus	1	0	0	0	1	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus macrosporus	0	0	0	0	1	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus coralloides	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus	1	0	0	1	2	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus hansupus	0	0	0	0	2	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus xanthus	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	9	14	6	12	4	11	6
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae	4	1	1	2	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae|g__Pelobacter	4	1	1	2	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae|g__Pelobacter|s__Pelobacter acetylenicus	0	0	0	2	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae|g__Pelobacter|s__Pelobacter sp. SFB93	2	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae|g__Pelobacter|s__Pelobacter propionicus	2	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae	5	12	5	10	3	11	6
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geoalkalibacter	0	1	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geoalkalibacter|s__Geoalkalibacter subterraneus	0	1	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter	5	11	5	9	3	11	6
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter uraniireducens	0	1	0	2	0	0	2
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter sulfurreducens	0	2	0	1	1	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter daltonii	0	3	0	2	0	5	3
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter lovleyi	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter bemidjiensis	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter bremensis	1	0	1	2	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter sp. DSM 9736	1	3	1	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter sp. M18	1	2	3	1	2	5	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	687	60	212	2	6	6	6
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae|g__Desulfomicrobium	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae|g__Desulfomicrobium|s__Desulfomicrobium orale	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	687	60	212	1	6	6	6
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Lawsonia	1	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Lawsonia|s__Lawsonia intracellularis	1	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Pseudodesulfovibrio	4	0	6	0	1	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Pseudodesulfovibrio|s__Pseudodesulfovibrio aespoeensis	0	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Pseudodesulfovibrio|s__Pseudodesulfovibrio indicus	0	0	3	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Pseudodesulfovibrio|s__Pseudodesulfovibrio sp. zrk46	2	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Pseudodesulfovibrio|s__Pseudodesulfovibrio piezophilus	2	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	682	60	206	1	5	6	4
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio marinus	0	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio carbinolicus	0	0	0	0	0	0	2
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio hydrothermalis	0	0	1	1	2	5	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp. IOR2	0	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Candidatus Desulfovibrio trichonymphae	1	3	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio alaskensis	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio vulgaris	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio salexigens	1	2	0	0	2	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio desulfuricans	1	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio fairfieldensis	2	1	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio piger	675	54	200	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2040	214	679	66	58	97	42
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus Accumulibacter	0	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus Accumulibacter|s__Candidatus Accumulibacter phosphatis	0	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|f__Casimicrobiaceae	1	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|f__Casimicrobiaceae|g__Casimicrobium	1	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|f__Casimicrobiaceae|g__Casimicrobium|s__Casimicrobium huifangae	1	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus Kinetoplastibacterium	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus Kinetoplastibacterium|s__Candidatus Kinetoplastibacterium desouzaii	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6	5	12	3	0	7	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Azonexaceae	1	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Azonexaceae|g__Dechloromonas	1	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Azonexaceae|g__Dechloromonas|s__Dechloromonas aromatica	1	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae	4	5	10	3	0	7	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Thauera	2	0	5	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Thauera|s__Thauera humireducens	0	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Thauera|s__Thauera chlorobenzoica	0	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Thauera|s__Thauera sp. K11	1	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Thauera|s__Thauera aromatica	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Azoarcus	2	5	5	3	0	7	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Azoarcus|s__Azoarcus sp. M9-3-2	0	0	0	1	0	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Azoarcus|s__Azoarcus sp. KH32C	0	0	0	1	0	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Azoarcus|s__Azoarcus communis	0	5	5	1	0	5	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__Azoarcus|s__Azoarcus sp. SY39	2	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	9	6	14	10	13	13	7
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|s__Nitrosomonadales bacterium skT11	0	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae	1	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus	0	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus denitrificans	0	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Sulfuritortus	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Sulfuritortus|s__Sulfuritortus calidifontis	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae	1	0	1	0	2	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylotenera	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylotenera|s__Methylotenera mobilis	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylovorus	1	0	0	0	2	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2	3	9	2	6	5	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas	0	3	7	2	6	5	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas stercoris	0	0	0	0	0	0	3
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas ureae	0	0	0	1	0	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas sp. Is79A3	0	0	3	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas eutropha	0	3	4	1	6	4	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira	2	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira lacus	2	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	2	0	2	2	3	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Sulfuriferula	0	0	0	1	2	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Sulfuriferula|s__Sulfuriferula plumbiphila	0	0	0	1	2	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Sulfuricella	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Sulfuricella|s__Sulfuricella denitrificans	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Candidatus Nitrotoga	0	0	1	0	1	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Candidatus Nitrotoga|s__Candidatus Nitrotoga sp. AM1P	0	0	1	0	1	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionella	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionella|s__Gallionella capsiferriformans	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Ferriphaselus	2	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Ferriphaselus|s__Ferriphaselus amnicola	2	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae	3	2	0	4	1	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Sulfuritalea	0	0	0	0	1	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Sulfuritalea|s__Sulfuritalea hydrogenivorans	0	0	0	0	1	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|s__Sterolibacteriaceae bacterium M52	0	0	0	2	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Denitratisoma	0	2	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Denitratisoma|s__Denitratisoma sp. DHT3	0	2	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|s__Sterolibacteriaceae bacterium J5B	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Sterolibacterium	2	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Sterolibacterium|s__Sterolibacterium denitrificans	2	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	16	12	15	13	5	10	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	3	4	6	1	3	6	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Pseudogulbenkiania	0	0	2	0	3	6	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Pseudogulbenkiania|s__Pseudogulbenkiania sp. NH8B	0	0	2	0	3	6	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum	0	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum|s__Aquaspirillum sp. LM1	0	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea	1	1	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea|s__Aquitalea denitrificans	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea|s__Aquitalea sp. USM4	0	1	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea|s__Aquitalea magnusonii	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chitinibacter	1	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chitinibacter|s__Chitinibacter sp. 2T18	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chitinibacter|s__Chitinibacter fontanus	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium	1	2	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium|s__Chromobacterium vaccinii	0	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium|s__Chromobacterium violaceum	0	1	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	13	7	9	10	2	4	3
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Chitinolyticbacter	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Chitinolyticbacter|s__Chitinolyticbacter meiyuanensis	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Conchiformibius	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Conchiformibius|s__Conchiformibius steedae	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|s__Neisseriaceae bacterium DSM 100970	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Simonsiella	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Simonsiella|s__Simonsiella muelleri	0	0	1	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	0	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella kingae	0	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Vitreoscilla	0	1	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Vitreoscilla|s__Vitreoscilla sp. C1	0	1	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	12	6	5	8	2	4	3
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria subflava	0	0	0	1	0	0	0
