Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-1070	NC_003757.1 Rice ragged stunt virus segment 9, complete sequence	1132
Sequence-1071	NC_003778.1 Chicory yellow mottle virus large satellite RNA, complete genome	1165
Sequence-1072	NC_003783.1 Triatoma virus, complete genome	9010
Sequence-1073	NC_003801.1 Rhizoctonia solani virus 717 RNA1, complete genome	2363
Sequence-1074	NC_003802.1 Rhizoctonia solani virus RNA2, complete sequence	2206
Sequence-1075	NC_003821.3 Turnip crinkle virus, complete genome	4054
Sequence-1076	NC_003837.1 Tomato aspermy virus RNA 1, complete sequence	3410
Sequence-1077	NC_003838.1 Tomato aspermy virus RNA 2, complete sequence	3074
Sequence-1078	NC_003836.1 Tomato aspermy virus RNA 3, complete sequence	2386
Sequence-1079	NC_003870.1 Sugarcane striate mosaic-associated virus, complete genome	8146
Sequence-1080	NC_003874.1 Zygosaccharomyces bailii virus Z, complete genome	3157
Sequence-1081	NC_003883.1 Fusarium poae virus 1 RNA 1, complete sequence	2185
Sequence-1082	NC_003884.1 Fusarium poae virus 1 RNA2 putative RNA dependent RNA polymerase gene, complete cds	2203
Sequence-1083	NC_003924.1 Cricket paralysis virus nonstructural polyprotein and structural polyprotein genes, complete cds	9185
Sequence-1084	NC_004018.1 Gremmeniella abietina RNA virus MS1 RNA 1, complete genome	1782
Sequence-1085	NC_004019.1 Gremmeniella abietina RNA virus MS1 RNA 2, complete genome	1586
Sequence-1086	NC_004020.1 Gremmeniella abietina RNA virus MS1 RNA 3, complete genome	1186
Sequence-1087	NC_004050.1 Saccharomyces 23S RNA narnavirus, complete genome	2891
Sequence-1088	NC_004054.1 Ophiostoma novo-ulmi mitovirus 6-Ld, complete genome	2343
Sequence-1089	NC_004123.1 Sweet potato chlorotic stunt virus RNA 1, complete genome	9407
Sequence-1090	NC_004124.1 Sweet potato chlorotic stunt virus RNA 2, complete sequence	8223
Sequence-1091	NC_004168.1 Yellowtail ascites virus segment A, complete sequence	2976
Sequence-1092	NC_004176.1 Yellowtail ascites virus segment B, complete sequence	2735
Sequence-1093	NC_004181.1 Colorado tick fever virus segment 1, complete sequence	4350
Sequence-1094	NC_004189.1 Colorado tick fever virus segment 10, complete sequence	1880
Sequence-1095	NC_004191.1 Colorado tick fever virus segment 11, complete sequence	998
Sequence-1096	NC_004190.1 Colorado tick fever virus segment 12, complete sequence	675
Sequence-1097	NC_004182.1 Colorado tick fever virus segment 2, complete sequence	3909
Sequence-1098	NC_004183.1 Colorado tick fever virus segment 3, complete sequence	3586
Sequence-1099	NC_004184.1 Colorado tick fever virus segment 4, complete sequence	3157
Sequence-1100	NC_004185.1 Colorado tick fever virus segment 5, complete sequence	2432
Sequence-1101	NC_004186.1 Colorado tick fever virus segment 6, complete sequence	2141
Sequence-1102	NC_004187.1 Colorado tick fever virus segment 7, complete sequence	2133
Sequence-1103	NC_004188.1 Colorado tick fever virus segment 8, complete sequence	2029
Sequence-1104	NC_004180.1 Colorado tick fever virus segment 9, complete sequence	1884
Sequence-1105	NC_004292.1 Tacaribe virus segment L, complete sequence	7102
Sequence-1106	NC_004293.1 Tacaribe virus segment S, complete sequence	3432
Sequence-1107	NC_004365.1 Aphid lethal paralysis virus, complete genome	9812
Sequence-1108	NC_004439.1 Tomato black ring virus RNA 1, complete sequence	7358
Sequence-1109	NC_004440.1 Tomato black ring virus RNA 2, complete sequence	4633
Sequence-1110	NC_001481.2 Feline calicivirus, complete genome	7683
Sequence-1111	NC_004751.1 Cereal yellow dwarf virus-RPV, complete genome	5723
Sequence-1112	NC_004807.1 Kashmir bee virus, complete genome	9524
Sequence-1113	NC_004994.2 Enzootic nasal tumour virus of goats, complete genome	7448
Sequence-1114	NC_004579.1 Mink astrovirus, complete genome	6610
Sequence-1115	NC_005209.2 Beet pseudo-yellows virus RNA 1, complete genome	8006
Sequence-1116	NC_005210.2 Beet pseudo-yellows virus RNA 2, complete genome	7903
Sequence-1117	NC_005289.1 Broad bean wilt virus 1 RNA 1, complete sequence	5817
Sequence-1118	NC_005290.1 Broad bean wilt virus 1 RNA 2, complete sequence	3446
Sequence-1119	NC_001866.1 Avian myelocytomatosis virus, complete genome	3392
Sequence-1120	NC_002645.1 Human coronavirus 229E, complete genome	27317
Sequence-1121	NC_005985.1 Pelargonium chlorotic ring pattern virus isolate GR57, complete genome	3904
Sequence-1122	NC_005286.1 Pelargonium flower break virus, complete genome	3923
Sequence-1123	NC_005166.1 Golden shiner reovirus segment 1, complete sequence	3949
Sequence-1124	NC_005175.1 Golden shiner reovirus segment 10, complete sequence	909
Sequence-1125	NC_005176.1 Golden shiner reovirus segment 11, complete sequence	820
Sequence-1126	NC_005167.1 Golden shiner reovirus segment 2, complete sequence	3877
Sequence-1127	NC_005168.1 Golden shiner reovirus segment 3, complete sequence	3702
Sequence-1128	NC_005169.1 Golden shiner reovirus segment 4, complete sequence	2320
Sequence-1129	NC_005170.1 Golden shiner reovirus segment 5, complete sequence	2239
Sequence-1130	NC_005171.1 Golden shiner reovirus segment 6, complete sequence	2039
Sequence-1131	NC_005172.1 Golden shiner reovirus segment 7, complete sequence	1414
Sequence-1132	NC_005173.1 Golden shiner reovirus segment 8, complete sequence	1297
Sequence-1133	NC_005174.1 Golden shiner reovirus segment 9, complete sequence	1130
Sequence-1134	NC_005287.1 Johnsongrass chlorotic stripe mosaic virus, complete genome	4421
Sequence-1135	NC_001410.1 Avocado sunblotch viroid, complete genome	247
Sequence-1136	NC_004714.1 Sclerophthora macrospora virus B, complete genome	5533
Sequence-1137	NC_001414.1 Bovine leukemia virus, complete genome	8419
Sequence-1138	NC_005982.1 Blotched snakehead virus, complete genome	3429
Sequence-1139	NC_005983.1 Blotched snakehead virus, complete genome	2750
Sequence-1140	NC_002692.1 Tomato mosaic virus, complete genome	6383
Sequence-1141	NC_005079.1 Machupo virus segment L, complete genome	7196
Sequence-1142	NC_005078.1 Machupo virus segment S, complete genome	3439
Sequence-1143	NC_004106.1 Paprika mild mottle virus, complete genome	6524
Sequence-1144	NC_005082.1 Guanarito virus segment L, complete genome	7081
Sequence-1145	NC_005077.1 Guanarito virus segment S, complete genome	3343
Sequence-1146	NC_005776.1 Oropouche virus segment L, complete genome	6846
Sequence-1147	NC_005775.1 Oropouche virus segment M, complete sequence	4385
Sequence-1148	NC_005777.1 Oropouche virus segment S, complete genome	754
Sequence-1149	NC_004421.1 Bovine kobuvirus, complete genome	8374
Sequence-1150	NC_010624.1 Sapovirus Mc10, complete genome	7458
Sequence-1151	NC_006060.1 Opuntia virus X, complete genome	6653
Sequence-1152	NC_005831.2 Human Coronavirus NL63, complete genome	27553
Sequence-1153	NC_003777.1 Apple fruit crinkle viroid, complete genome	371
Sequence-1154	NC_002015.1 Chrysanthemum stunt viroid, complete genome	356
Sequence-1155	NC_004728.1 Eggplant latent viroid, complete genome	335
Sequence-1156	NC_001780.1 Saguaro cactus virus, complete genome	3879
Sequence-1157	NC_005084.2 Fer-de-lance virus, complete genome	15378
Sequence-1158	NC_004009.2 Cymbidium ringspot virus satellite RNA, complete genome	618
Sequence-1159	NC_003398.1 Sugarcane mosaic virus, complete genome	9596
Sequence-1160	NC_004162.2 Chikungunya virus, complete genome	11826
Sequence-1161	NC_001921.1 Canine distemper virus, complete genome	15690
Sequence-1162	NC_004161.1 Reston ebolavirus isolate Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania, complete genome	18891
Sequence-1163	NC_006441.1 Amasya cherry disease-associated mycovirus, complete genome	2002
Sequence-1164	NC_005138.1 Lily symptomless virus, complete genome	8394
Sequence-1165	NC_006505.1 Infectious salmon anemia virus segment 1, complete sequence	2169
Sequence-1166	NC_006503.1 Infectious salmon anemia virus segment 2, complete sequence	2185
Sequence-1167	NC_006502.1 Infectious salmon anemia virus segment 3, complete sequence	2046
Sequence-1168	NC_006501.1 Infectious salmon anemia virus segment 4, complete sequence	1787
Sequence-1169	NC_006500.1 Infectious salmon anemia virus segment 5, complete sequence	1504
Sequence-1170	NC_006499.1 Infectious salmon anemia virus segment 6, complete sequence	1323
Sequence-1171	NC_006498.1 Infectious salmon anemia virus segment 7, complete sequence	966
Sequence-1172	NC_006497.1 Infectious salmon anemia virus segment 8, complete sequence	736
Sequence-1173	NC_005301.3 Crimean-Congo hemorrhagic fever virus segment L, complete sequence	12108
Sequence-1174	NC_005300.2 Crimean-Congo hemorrhagic fever virus segment M, complete sequence	5366
Sequence-1175	NC_005302.1 Crimean-Congo hemorrhagic fever virus segment S, complete sequence	1672
Sequence-1176	NC_001501.1 Moloney murine leukemia virus, complete genome	8332
Sequence-1177	NC_004666.1 Barley yellow dwarf virus-GAV, complete genome	5685
Sequence-1178	NC_006553.1 Avian sapelovirus, complete genome	8289
Sequence-1179	NC_006508.1 Thogoto virus segment 1, complete sequence	2375
Sequence-1180	NC_006495.1 Thogoto virus segment 2, complete sequence	2212
Sequence-1181	NC_006496.1 Thogoto virus segment 3, complete sequence	1927
Sequence-1182	NC_006506.1 Thogoto virus segment 4, complete sequence	1574
Sequence-1183	NC_006507.1 Thogoto virus segment 5, complete sequence	1418
Sequence-1184	NC_006504.1 Thogoto virus segment 6, complete sequence	955
Sequence-1185	NC_006269.1 Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome	7429
Sequence-1186	NC_006319.1 Toscana virus segment L, complete sequence	6404
Sequence-1187	NC_006320.1 Toscana virus segment M, complete sequence	4215
Sequence-1188	NC_006318.1 Toscana virus segment S, complete sequence	1869
Sequence-1189	NC_006265.1 Carrot red leaf virus, complete genome	5723
Sequence-1190	NC_006275.1 White clover cryptic virus 1 RNA1, complete genome	1955
Sequence-1191	NC_006276.1 White clover cryptic virus 1 RNA2, complete genome	1708
Sequence-1192	NC_003532.1 Cymbidium ringspot virus, complete genome	4733
Sequence-1193	NC_001367.1 Tobacco mosaic virus, complete genome	6395
Sequence-1194	NC_004146.1 Flock house virus RNA 1, complete sequence	3107
Sequence-1195	NC_004144.1 Flock house virus, complete genome	1400
Sequence-1196	NC_005225.1 Puumala virus segment L, complete genome	6550
Sequence-1197	NC_005223.1 Puumala virus segment M, complete sequence	3682
Sequence-1198	NC_005224.1 Puumala virus segment S, complete sequence	1830
Sequence-1199	NC_005266.1 Raspberry ringspot virus RNA1, complete genome	7935
Sequence-1200	NC_005267.1 Raspberry ringspot virus RNA 2, complete sequence	3914
Sequence-1201	NC_006023.1 Bluetongue virus segment 1, complete sequence	3944
Sequence-1202	NC_006015.1 Bluetongue virus segment 10, complete sequence	822
Sequence-1203	NC_006013.1 Bluetongue virus segment 2, complete sequence	2953
Sequence-1204	NC_006014.1 Bluetongue virus segment 3, complete sequence	2772
Sequence-1205	NC_006024.2 Bluetongue virus segment 4, complete sequence	1980
Sequence-1206	NC_006025.1 Bluetongue virus segment 5, complete sequence	1769
Sequence-1207	NC_006010.1 Bluetongue virus segment 6, complete sequence	1638
Sequence-1208	NC_006022.1 Bluetongue virus segment 7, complete sequence	1156
Sequence-1209	NC_006007.1 Bluetongue virus segment 8, complete sequence	1125
Sequence-1210	NC_006008.1 Bluetongue virus segment 9, complete sequence	1049
Sequence-1211	NC_005304.1 Beet mosaic virus, complete genome	9591
Sequence-1212	NC_005132.1 Botrytis virus X, complete genome	6966
Sequence-1213	NC_004560.1 Oyster mushroom spherical virus, complete genome	5784
Sequence-1214	NC_006059.1 Zygocactus virus X, complete genome	6624
Sequence-1215	NC_006051.1 Lettuce ring necrosis virus RNA 1, complete genome	7651
Sequence-1216	NC_006052.1 Lettuce ring necrosis virus RNA 2, complete genome	1830
Sequence-1217	NC_006053.1 Lettuce ring necrosis virus RNA 3, complete genome	1527
Sequence-1218	NC_006054.1 Lettuce ring necrosis virus RNA 4, complete genome	1417
Sequence-1219	NC_001920.1 Grapevine yellow speckle viroid 1, complete genome	366
Sequence-1220	NC_001340.1 Apple scar skin viroid, complete genome	329
Sequence-1221	NC_003463.1 Apple dimple fruit viroid, complete genome	306
Sequence-1222	NC_003553.1 Australian grapevine viroid, complete genome	369
Sequence-1223	NC_002792.2 Ribgrass mosaic virus, complete genome	6311
Sequence-1224	NC_002251.1 Northern cereal mosaic virus, complete genome	13222
Sequence-1225	NC_003971.1 Chicory yellow mottle virus satellite RNA, complete genome	457
Sequence-1226	NC_001265.2 Carnation mottle virus (CarMV) complete genomic RNA sequence	4003
Sequence-1227	NC_002052.1 Tomato spotted wilt virus RNA L, complete sequence	8897
Sequence-1228	NC_002050.1 Tomato spotted wilt virus RNA M, complete sequence	4821
Sequence-1229	NC_002051.1 Tomato spotted wilt virus RNA S, complete sequence	2916
Sequence-1230	NC_002161.1 Bovine parainfluenza virus 3, complete genome	15456
Sequence-1231	NC_005217.1 Sin Nombre virus map viral genome L segment	6562
Sequence-1232	NC_005215.1 Sin Nombre virus segment M, complete genome	3696
Sequence-1233	NC_005216.1 Sin Nombre virus segment S, complete sequence	2059
Sequence-1234	NC_004120.1 Spring beauty latent virus RNA 1, complete sequence	3252
Sequence-1235	NC_004121.1 Spring beauty latent virus RNA 2, complete sequence	2898
Sequence-1236	NC_004122.1 Spring beauty latent virus RNA 3, complete sequence	2213
Sequence-1237	NC_006430.1 Parainfluenza virus 5, complete genome	15246
Sequence-1238	NC_003555.1 Giardia lamblia virus, complete genome	6277
Sequence-1239	NC_001498.1 Measles virus, complete genome	15894
Sequence-1240	NC_001482.1 Feline immunodeficiency virus complete genome	9474
Sequence-1241	NC_003514.1 Beet necrotic yellow vein virus RNA 1, complete sequence	6746
Sequence-1242	NC_003515.1 Beet necrotic yellow vein virus RNA 2, complete sequence	4609
Sequence-1243	NC_003516.1 Beet necrotic yellow vein virus RNA 3, complete sequence	1774
Sequence-1244	NC_003517.1 Beet necrotic yellow vein virus RNA 4, complete sequence	1465
Sequence-1245	NC_003513.1 Beet necrotic yellow vein virus RNA 5, complete sequence	1320
Sequence-1246	NC_006550.1 Sweet potato chlorotic fleck virus, complete genome	9104
Sequence-1247	NC_006559.1 Solenopsis invicta virus 1, complete genome	8026
Sequence-1248	NC_006551.1 Usutu virus, complete genome	11066
Sequence-1249	NC_002026.1 Brome mosaic virus RNA 1, complete sequence	3234
Sequence-1250	NC_002027.1 Brome mosaic virus RNA 2, complete sequence	2865
Sequence-1251	NC_002028.2 Brome mosaic virus RNA 3, complete sequence	2111
Sequence-1252	NC_005343.1 Poplar mosaic virus, complete genome	8741
Sequence-1253	NC_006314.1 Citrus psorosis virus RNA1, complete genome	8186
Sequence-1254	NC_006315.1 Citrus psorosis virus RNA2, complete genome	1645
Sequence-1255	NC_006316.1 Citrus psorosis virus RNA3, complete genome	1447
Sequence-1256	NC_005904.1 Hordeum mosaic virus, complete genome	9463
Sequence-1257	NC_003820.1 White clover mosaic virus, complete genome	5845
Sequence-1258	NC_003688.1 Cucurbit aphid-borne yellows virus, complete genome	5669
Sequence-1259	NC_002618.2 Cocksfoot mottle virus, complete genome	4082
Sequence-1260	NC_001822.1 Leek white stripe virus, complete genome	3662
Sequence-1261	NC_003604.2 Grapevine virus A, complete genome	7351
Sequence-1262	NC_003510.1 Beet virus Q RNA 1, complete sequence	6003
Sequence-1263	NC_003511.1 Beet virus Q RNA 2, complete sequence	2913
Sequence-1264	NC_003512.1 Beet virus Q RNA 3, complete sequence	2529
Sequence-1265	NC_002469.1 Ovine astrovirus, complete genome	6440
Sequence-1266	NC_003400.1 Scallion virus X, complete genome	6985
Sequence-1267	NC_006057.1 Arabis mosaic virus RNA 1, complete sequence	7334
Sequence-1268	NC_006056.1 Arabis mosaic virus RNA 2, complete sequence	3820
Sequence-1269	NC_005226.1 Tula virus segment L, complete sequence	6541
Sequence-1270	NC_005228.1 Tula virus segment M, complete sequence	3694
Sequence-1271	NC_005227.2 Tula virus segment S, complete genome	1831
Sequence-1272	NC_005848.1 Parietaria mottle virus RNA 1, complete genome	3518
Sequence-1273	NC_005849.1 Parietaria mottle virus RNA 2, complete genome	2922
Sequence-1274	NC_005854.1 Parietaria mottle virus RNA 3, complete sequence	2268
Sequence-1275	NC_005978.1 Helminthosporium victoriae 145S virus	3612
Sequence-1276	NC_005979.1 Helminthosporium victoriae 145S virus	3134
Sequence-1277	NC_005980.1 Helminthosporium victoriae 145S virus	2972
Sequence-1278	NC_005981.1 Helminthosporium victoriae 145S virus	2763
Sequence-1279	NC_004452.3 Beet black scorch virus, complete genome	3644
Sequence-1280	NC_005092.1 Ectropis obliqua picorna-like virus, complete genome	9394
Sequence-1281	NC_001411.2 Black beetle virus, complete genome	3106
Sequence-1282	NC_002037.1 Black beetle virus RNA 2, complete sequence	1399
Sequence-1283	NC_001830.1 Pear blister canker viroid, complete genome	315
Sequence-1284	NC_001651.1 Citrus bent leaf viroid, complete genome	315
Sequence-1285	NC_000885.1 Tomato chlorotic dwarf viroid, complete genome	360
Sequence-1286	NC_001407.1 Rous sarcoma virus, complete genome	9392
Sequence-1287	NC_001990.1 Nudaurelia capensis beta virus, complete genome	6625
Sequence-1288	NC_003203.1 Grapevine fanleaf virus satellite RNA, complete genome	1114
Sequence-1289	NC_004178.1 Infectious bursal disease virus segment A, complete sequence	3183
Sequence-1290	NC_004179.1 Infectious bursal disease virus segment B, complete sequence	2715
Sequence-1291	NC_005062.1 Omsk hemorrhagic fever virus, complete genome	10787
Sequence-1292	NC_003794.1 Strawberry mild yellow edge virus, complete genome	5966
Sequence-1293	NC_001781.1 Human respiratory syncytial virus, complete genome	15225
Sequence-1294	NC_006431.1 Cryphonectria hypovirus 4 endogenous virus, complete genome	9149
Sequence-1295	NC_006432.1 Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome	18875
Sequence-1296	NC_003890.1 Tomato black ring virus satellite RNA, complete genome	1374
Sequence-1297	NC_001552.1 Sendai virus genomic RNA, antisense, complete sequence	15384
Sequence-1298	NC_005238.1 Seoul virus strain Seoul 80-39 clone 1	6530
Sequence-1299	NC_005237.1 Seoul virus segment M, complete sequence	3651
Sequence-1300	NC_005236.1 Seoul virus strain 80-39 segment S, complete sequence	1769
Sequence-1301	NC_003469.1 Barley stripe mosaic virus RNA 1, complete sequence	3768
Sequence-1302	NC_003481.1 Barley stripe mosaic virus RNA 2, complete sequence	3289
Sequence-1303	NC_003478.1 Barley stripe mosaic virus RNA 3, complete sequence	3164
Sequence-1304	NC_006572.1 Mopeia Lassa reassortant 29 segment L, complete genome	7271
Sequence-1305	NC_006573.1 Mopeia Lassa reassortant 29 segment S, complete genome	3402
Sequence-1306	NC_006554.1 Sapovirus C12 strain C12	7476
Sequence-1307	NC_006435.1 Hantavirus Z10 chromosome L, complete genome	6533
Sequence-1308	NC_006437.1 Hantavirus Z10 segment M, complete genome	3616
Sequence-1309	NC_006433.1 Hantavirus Z10 chromosome S segment, complete genome	1701
Sequence-1310	NC_006558.1 Getah virus, complete genome	11597
Sequence-1311	NC_006313.1 Sabia virus segment L, complete genome	7133
Sequence-1312	NC_006317.1 Sabia virus, complete genome	3366
Sequence-1313	NC_005895.2 Strawberry pallidosis-associated virus RNA 1, complete genome	8066
Sequence-1314	NC_005065.1 Little cherry virus 2, complete genome	15045
Sequence-1315	NC_002036.1 Pea early browning virus RNA 1, complete sequence	7073
Sequence-1316	NC_001368.1 Pea early browning virus RNA 2, complete sequence	3374
Sequence-1317	NC_003743.1 Turnip yellows virus, complete genome	5641
Sequence-1318	NC_001628.1 Pseudomonas phage PP7, complete genome	3588
Sequence-1319	NC_003689.1 Cherry virus A, complete genome	7383
Sequence-1320	NC_001721.1 Olive latent virus 1, complete genome	3699
Sequence-1321	NC_002032.1 Bovine viral diarrhea virus genotype 2, complete genome	12255
Sequence-1322	NC_002358.1 Oat golden stripe virus RNA1 complete genome	7111
Sequence-1323	NC_002357.1 Oat golden stripe virus RNA2 complete genome	3232
Sequence-1324	NC_002306.3 Feline infectious peritonitis virus, complete genome	29355
Sequence-1325	NC_005897.1 Pirital virus segment L, complete genome	7089
Sequence-1326	NC_005894.1 Pirital virus segment S, complete sequence	3393
Sequence-1327	NC_005989.1 Chuzan virus segment 3, complete sequence	2774
Sequence-1328	NC_005990.1 Chuzan virus segment 1, complete sequence	3930
Sequence-1329	NC_005995.1 Chuzan virus segment 10, complete sequence	728
Sequence-1330	NC_005986.1 Chuzan virus segment 2, complete sequence	3055
Sequence-1331	NC_005991.1 Chuzan virus segment 4, complete sequence	1967
Sequence-1332	NC_005993.1 Chuzan virus segment 5, complete sequence	1764
Sequence-1333	NC_005987.1 Chuzan virus segment 6, complete sequence	1610
Sequence-1334	NC_005988.1 Chuzan virus segment 7, complete sequence	1151
Sequence-1335	NC_005994.1 Chuzan virus segment 8, complete sequence	1059
Sequence-1336	NC_005992.1 Chuzan virus segment 9, complete sequence	877
Sequence-1337	NC_005222.1 Hantaan virus segment L, complete genome	6533
Sequence-1338	NC_005219.1 Hantaan virus, complete genome	3616
Sequence-1339	NC_005218.1 Hantaan virus, complete genome	1696
Sequence-1340	NC_005097.1 Tobacco ringspot virus RNA 1, complete sequence	7514
Sequence-1341	NC_005096.1 Tobacco ringspot virus RNA 2, complete sequence	3929
Sequence-1342	NC_006021.1 African horsesickness virus segment 1, complete genome	3965
Sequence-1343	NC_006009.1 African horsesickness virus segment 10, complete sequence	758
Sequence-1344	NC_005996.1 African horsesickness virus segment 2, complete genome	3203
Sequence-1345	NC_006017.1 African horsesickness virus segment 3, complete sequence	2792
Sequence-1346	NC_006012.1 African horsesickness virus segment 4, complete sequence	1978
Sequence-1347	NC_006020.1 African horsesickness virus	1748
Sequence-1348	NC_006018.1 African horsesickness virus segment 6, complete sequence	1566
Sequence-1349	NC_006011.1 African horsesickness virus segment 7, complete sequence	1179
Sequence-1350	NC_006016.1 African horsesickness virus segment 8, complete sequence	1166
Sequence-1351	NC_006019.1 African horsesickness virus chromosome segment 9, complete genome	1169
Sequence-1352	NC_006004.1 St Croix River virus chromosome segment 8, complete genome	1256
Sequence-1353	NC_005997.1 St Croix river virus segment 1 putative RNA-dependent RNA polymerase VP1 gene, complete cds	4089
Sequence-1354	NC_006006.1 St Croix River virus chromosome segment 10, complete genome	764
Sequence-1355	NC_005998.1 St Croix River virus chromosome segment 2, complete genome	2747
Sequence-1356	NC_005999.1 St Croix River virus chromosome segment 3, complete genome	2024
Sequence-1357	NC_006000.1 St Croix River virus chromosome segment 4, complete genome	2017
Sequence-1358	NC_006001.1 St Croix River virus chromosome segment 5, complete genome	1664
Sequence-1359	NC_006002.1 St Croix River virus chromosome segment 6, complete genome	1657
Sequence-1360	NC_006003.1 St Croix River virus chromosome segment 7, complete genome	1463
Sequence-1361	NC_006005.1 St Croix River virus chromosome segment 9, complete genome	764
Sequence-1362	NC_004451.1 Simian sapelovirus 1, complete genome	8126
Sequence-1363	NC_005976.2 Penicillium stoloniferum virus S segment 1, complete genome	1754
Sequence-1364	NC_005977.2 Penicillium stoloniferum virus S segment 2, complete genome	1582
Sequence-1365	NC_005790.1 Turkey astrovirus 2, complete genome	7355
Sequence-1366	NC_006064.1 Humulus japonicus latent virus, complete genome	3382
Sequence-1367	NC_006065.1 Humulus japonicus latent virus, complete genome	2810
Sequence-1368	NC_006066.1 Humulus japonicus latent virus, complete genome	1938
Sequence-1369	NC_001278.1 Diaporthe ambigua RNA virus 1, complete genome	4113
Sequence-1370	NC_002030.1 Potato spindle tuber viroid, complete genome	359
Sequence-1371	NC_003611.1 Hop latent viroid, complete genome	256
Sequence-1372	NC_003264.1 Citrus dwarfing viroid, complete genome	292
Sequence-1373	NC_002598.1 Panicum mosaic virus, complete genome	4326
Sequence-1374	NC_002548.1 Acute bee paralysis virus, complete genome	9491
Sequence-1375	NC_001800.1 Garlic virus X, complete genome	8106
Sequence-1376	NC_001722.1 Human immunodeficiency virus 2, complete genome	10359
Sequence-1377	NC_002815.2 Cactus virus X, complete genome	6614
Sequence-1378	NC_001558.1 Tomato planta macho viroid, complete genome	360
Sequence-1379	NC_001803.1 Respiratory syncytial virus, complete genome	15191
Sequence-1380	NC_006439.1 Pichinde virus L RNA, complete genome	6997
Sequence-1381	NC_006429.1 Mokola virus, complete genome	11940
Sequence-1382	NC_000855.1 Viral hemorrhagic septicemia virus Fil3, complete genome	11158
Sequence-1383	NC_001915.1 Infectious pancreatic necrosis virus segment A, complete sequence	3097
Sequence-1384	NC_001916.1 Infectious pancreatic necrosis virus segment B, complete sequence	2784
Sequence-1385	NC_005080.1 Junin virus segment L, complete genome	7114
Sequence-1386	NC_005081.1 Junin virus segment S, complete genome	3411
Sequence-1387	NC_001653.2 Hepatitis delta virus, complete genome	1682
Sequence-1388	NC_006574.1 Mopeia virus AN20410 segment L, complete genome	7271
Sequence-1389	NC_006575.1 Mopeia virus AN20410 segment S, complete genome	3427
Sequence-1390	NC_006367.1 Magnaporthe oryzae virus 1, complete genome	5359
Sequence-1391	NC_006262.1 Watermelon mosaic virus, complete genome	10035
Sequence-1392	NC_006296.2 Rinderpest virus (strain Kabete O), complete genome	15882
Sequence-1393	NC_006307.1 Influenza C virus (C/Ann Arbor/1/50) segment 1, complete sequence	2325
Sequence-1394	NC_006308.1 Influenza C virus (C/Ann Arbor/1/50) segment 2, complete sequence	2265
Sequence-1395	NC_006309.1 Influenza C virus (C/Ann Arbor/1/50) segment 3, complete sequence	2130
Sequence-1396	NC_006310.1 Influenza C virus (C/Ann Arbor/1/50) segment 4, complete sequence	1968
Sequence-1397	NC_006311.1 Influenza C virus (C/Ann Arbor/1/50) segment 5, complete sequence	1807
Sequence-1398	NC_006312.1 Influenza C virus (C/Ann Arbor/1/50) segment 6, complete sequence	1125
Sequence-1399	NC_006306.2 Influenza C virus (C/Ann Arbor/1/50) segment 7, complete sequence	935
Sequence-1400	NC_002200.1 Mumps virus, complete genome	15384
Sequence-1401	NC_005903.1 Agropyron mosaic virus, complete genome	9540
Sequence-1402	NC_001747.1 Potato leafroll virus, complete genome	5987
Sequence-1403	NC_003849.1 Plantago asiatica mosaic virus, complete genome	6128
Sequence-1404	NC_003500.2 Carnation Italian ringspot virus, complete genome	4760
Sequence-1405	NC_003633.1 Oat chlorotic stunt virus, complete genome	4114
Sequence-1406	NC_001726.1 Carrot mottle mimic umbravirus (CMoMV) dsRNA1, complete genome	4201
Sequence-1407	NC_003634.1 Physalis mottle virus, complete genome	6673
Sequence-1408	NC_002187.1 Japanese iris necrotic ring virus, complete genome	4014
Sequence-1409	NC_004035.1 Sorghum mosaic virus, complete genome	9624
Sequence-1410	AC_000020.1 Canine adenovirus type 2, complete genome	31323
Sequence-1411	AC_000016.1 Turkey adenovirus A, complete genome	26263
Sequence-1412	NC_003627.1 Maize chlorotic mottle virus genomic RNA, isolate KS1	4437
Sequence-1413	NC_006494.1 Varroa destructor virus-1, complete genome	10112
Sequence-1414	NC_004067.1 Pepino mosaic virus, complete genome	6450
Sequence-1415	NC_005094.1 Macrobrachium rosenbergii nodavirus RNA-1, complete genome	3202
Sequence-1416	NC_005095.1 Macrobrachium rosenbergii nodavirus RNA-2, complete genome	1175
Sequence-1417	NC_004778.3 Choristoneura fumiferana multiple nucleopolyhedrovirus, complete genome	129593
Sequence-1418	NC_005137.2 Choristoneura fumiferana DEF MNPV, complete genome	131160
Sequence-1419	NC_003310.1 Monkeypox virus Zaire-96-I-16, complete genome	196858
Sequence-1420	NC_001777.1 Tobacco necrosis virus A, complete genome	3684
Sequence-1421	NC_011202.1 Human adenovirus B2, complete genome	34794
Sequence-1422	NC_006937.2 Fusarium graminearum dsRNA mycovirus-1, complete genome	6621
Sequence-1423	NC_006940.2 Salmonella phage SS3e, complete genome	40793
Sequence-1424	NC_006957.1 Begomovirus-associated DNA-III, complete genome	1209
Sequence-1425	NC_006964.1 Strawberry latent ringspot virus RNA1, complete sequence	7496
